stations	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	0_21	0_22	0_23	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	1_21	1_22	1_23	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	2_21	2_22	2_23	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	3_21	3_22	3_23	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	4_21	4_22	4_23	5_0	5_1	5_2	5_3	5_4	5_5	5_6	5_7	5_8	5_9	5_10	5_11	5_12	5_13	5_14	5_15	5_16	5_17	5_18	5_19	5_20	5_21	5_22	5_23	6_0	6_1	6_2	6_3	6_4	6_5	6_6	6_7	6_8	6_9	6_10	6_11	6_12	6_13	6_14	6_15	6_16	6_17	6_18	6_19	6_20	6_21	6_22	6_23
捷運西門站(3號出口)	0	0	0	0	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9	20	0	25	23	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	25	0	22	29	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	3	26	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	3	6	5	15	78	47	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	5	9	21	37	30	7	0	0	0	0	0	0	0	0	0	0	0	0
捷運忠孝復興站(2號出口)	0	0	0	0	29	65	25	70	16	36	55	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	13	0	5	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	11	24	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	33	8	3	3	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0	13	36	3	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	21	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	71	41	13	0	23	53	60	0	0	0	0	0	0	0	0	0	0	0	0
捷運忠孝新生(3號出口)	0	0	0	0	0	0	8	0	0	0	0	27	4	3	0	0	0	0	0	0	0	0	0	0	0	40	13	12	0	21	0	30	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	16	0	38	22	17	23	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22	30	21	2	15	29	3	24	31	16	27	6	0	19	18	0	0	0	0	0	0	5	37	18	45	39	0	0	0	0	4	8	3	15	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	6	14	0	4	11	2	15	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	28	33	18	11	25	7	5	5	32	11	0	0	0	0	0	0	0	0	0	0	0
捷運昆陽站(1號出口)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	33	0	0	0	0	0	0	0	11	2	0	0	0	0	0	4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	37	10	0	0	0	0	0	0	0	11	21	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
捷運明德站	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
捷運東門站(4號出口)	0	0	0	18	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	20	30	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	18	4	0	12	53	43	25	10	0	2	0	0	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	59	15	25	4	0	0	0	0	0	0	27	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0	51	21	8	23	0	0
捷運芝山站(2號出口)	38	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
捷運信義安和站	0	0	0	0	0	8	0	0	2	44	107	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	24	42	0	0	5	29	85	15	7	21	27	21	0	0	0	0	0	0	0	0	0	0	0	26	15	0	22	19	0	21	0	4	49	39	16	0	0	0	0	0	0	0	0	2	16	0	0	0	3	11	0	0	10	31	20	53	10	21	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	17	22	22	25	16	0	0	0	0	0	0	0	0	0	0	12	0	0	17	18	0	4	24	76	10	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	15	58	174	66	15	0	0	0	0	0	0	0	0	0	0	0
捷運南港展覽館站(5號出口)	6	0	0	10	30	0	0	0	0	0	0	6	43	0	0	0	0	0	0	0	0	0	10	50	6	0	0	8	3	2	0	2	0	51	52	20	45	2	0	0	0	0	0	1	33	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	15	6	0	0	16	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	32	53	16	38	21	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
捷運南港軟體園區站(2號出口)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
